itemNr,x,y,name,pickedUp,quest,display,cash,itemDisplayed,inQuest
1,39,47,"Fixie Cykel",0,3,2,0,0,0
2,36,71,"Laufmaschine",0,3,2,0,0,0
3,54,67,"BMX",0,3,2,0,0,0
4,57,60,"Dame cykel",0,3,2,0,0,0
5,89,72,"Væltepeter",0,3,2,0,0,0
6,91,44,"Ben knuseren",0,3,2,0,0,0
7,59,30,"Gammelt Dokuemt",0,2,2,0,0,0
8,74,46,"Menneske Øre",0,4,4,0,0,1
9,94,15,"Gammel punke papir",0,2,2,0,0,0
10,66,50,"Lovgivning",0,4,5,0,0,1
11,1,23,"Parlament",0,0,0,0,0,0
12,83,46,"Sele",0,4,3,0,0,1
13,14,21,"Billet",0,1,2,0,0,1
14,25,19,"Håndfuld mønter (20)",0,0,0,20,0,0
15,39,14,"plastpose mønter (40)",0,0,0,40,0,0
16,65,55,"Kasse mønter (60)",0,0,0,60,0,0
17,57,60,"pose med mønter (80)",0,0,0,80,0,0
18,66,68,"sæk med mønter (100)",0,0,0,100,0,0
19,89,72,"kiste med mønter(120)",0,0,0,120,0,0
20,85,54,"Håndfuld diamanter (140)",0,0,0,140,0,0
21,85,64,"plastpose diamanter (160)",0,0,0,160,0,0
22,75,54,"Kasse diamanter (200)",0,0,0,200,0,0
23,75,64,"pose med diamanter (400)",0,0,0,400,0,0
24,91,44,"sæk med diamanter (500)",0,0,0,500,0,0
