x,y
18,13
18,14
18,15
19,15
19,14
19,13
20,13
20,14
20,15
18,17
17,18
17,19
17,20
16,20
16,19
16,18
15,18
15,19
15,20
14,20
14,19
14,18
14,24
14,23
14,22
15,22
15,23
15,24
16,24
16,23
16,22
17,24
18,24
18,23
17,23
18,22
20,24
21,24
20,23
20,22
21,22
21,23
22,23
23,23
23,22
22,22
20,20
21,20
21,19
21,18
22,18
22,19
22,20
23,20
23,19
23,18
25,20
26,20
26,19
26,18
26,17
27,17
28,17
29,17
30,17
30,18
30,19
30,20
29,20
28,20
27,20
22,16
24,16
24,16
25,16
26,16
27,16
29,16
30,16
31,15
31,14
30,14
27,14
26,14
25,14
24,14
23,14
22,14
22,15
25,22
26,22
27,22
28,22
29,22
30,22
31,22
32,22
33,22
33,24
32,24
31,24
30,24
29,24
27,24
26,24
24,24
31,20
32,20
33,16
33,15
33,14
28,14
29,14
31,16
28,16
23,16
25,24
28,24
34,20
34,19
34,18
35,18
36,18
36,19
36,20
35,20
37,20
37,18
37,19
37,16
35,16
34,16
35,15
35,14
34,14
34,16
34,24
35,24
36,24
37,24
38,24
38,22
37,22
36,22
35,22
34,22
14,26
14,27
14,28
15,28
15,26
15,26
16,26
16,27
16,28
18,28
18,27
18,26
20,26
22,26
22,26
24,26
24,27
24,28
23,28
20,28
20,27
26,28
26,27
26,26
27,26
27,27
27,28
28,28
28,27
28,26
29,26
31,26
31,26
31,28
32,28
33,28
34,28
34,27
34,26
33,26
32,26
26,29
26,30
27,30
28,30
29,30
31,30
32,30
33,30
26,33
26,32
26,31
27,31
27,32
28,33
28,32
28,31
27,33
18,33
18,32
18,31
18,30
17,30
16,30
15,30
14,30
14,31
14,32
14,33
15,33
16,33
17,33
15,35
16,36
17,36
18,36
18,35
17,35
16,35
20,34
20,35
20,36
20,37
21,37
22,37
22,36
21,36
21,35
22,35
24,35
26,35
26,36
26,37
27,37
28,37
29,37
17,26
17,27
17,28
20,29
23,29
21,28
22,28
23,26
21,26
37,36
37,35
37,35
37,34
37,33
37,32
37,31
37,30
37,29
37,28
37,27
37,26
40,41
40,40
40,39
40,39
