itemNr,x,y,name,pickedUp,quest,display,cash,itemDisplayed,inQuest
1,39,47,"Fixie Cykel",0,3,2,0,0,0
2,36,71,"Laufmaschine",0,3,2,0,0,0
3,54,67,"BMX",0,3,2,0,0,0
4,57,60,"Dame cykel",0,3,2,0,0,0
5,89,72,"Væltepeter",0,3,2,0,0,0
6,91,44,"Ben knuseren",0,3,2,0,0,0
7,59,30,"Gammelt Dokuemt",0,2,2,0,0,0
8,74,46,"Menneske Øre",0,4,4,0,0,1
9,94,15,"Gammel punke papir",0,2,2,0,0,0
10,66,50,"Lovgivning",0,4,5,0,0,1
11,1,23,"Parlament",0,0,0,0,0,0
12,83,46,"Sele",0,4,3,0,0,1
13,14,21,"Billet",0,1,2,0,0,1
